match_id,kick_index,who_kicked,kicker_dir,keeper_dir,is_goal,order_mode,phase,round_stage
e0e55681,1,ME,L,C,1,ME_FIRST,REG,EARLY
e0e55681,2,OPP,C,R,1,ME_FIRST,REG,EARLY
e0e55681,3,ME,L,C,1,ME_FIRST,REG,MID
e0e55681,4,OPP,L,L,0,ME_FIRST,REG,MID
e0e55681,5,ME,R,L,1,ME_FIRST,REG,LATE
e0e55681,6,OPP,R,R,0,ME_FIRST,REG,LATE
e0e55681,7,ME,C,L,1,ME_FIRST,REG,LATE
725df1ed,1,ME,L,C,1,ME_FIRST,REG,EARLY
725df1ed,2,OPP,C,C,0,ME_FIRST,REG,EARLY
725df1ed,3,ME,R,C,1,ME_FIRST,REG,EARLY
725df1ed,4,OPP,R,R,0,ME_FIRST,REG,EARLY
725df1ed,5,ME,L,C,1,ME_FIRST,REG,MID
725df1ed,6,OPP,C,C,0,ME_FIRST,REG,MID
